conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_text,tokens
2069748189650100359,2026-06-24T12:05:53.000Z,2,"@4Y4NKZ Pidato,  presiden  harus  berikan  solusi ke rakyat  di daerah2.

PRABOWO   BERCERITA  DEMO YANG  TERJADI  KEMARIN.

PERNAH  ADA KOMEN, PRABOWO,   PRESIDEN YANG  TERBODOH  DI INDONESIA.
MAAF  BUKAN  HINA2.",2069753878925709365,,4Y4NKZ,in,,0,1,0,https://x.com/NHenryp29864/status/2069753878925709365,1705475303571861504,NHenryp29864,pidato_presiden harus berikan solusi ke rakyat di daerah2 prabowo bercerita demo yang terjadi kemarin pernah ada komen prabowo presiden yang terbodoh di indonesia maaf bukan_hina2,"['pidato presiden', 'solusi', 'rakyat', 'daerah2', 'cerita', 'demo', 'kemarin', 'komen', 'presiden', 'bodoh', 'indonesia', 'maaf', 'bukan hina2']"
2069753612482564315,2026-06-24T12:04:50.000Z,0,prabowo udahan ah kasih pidato jelek nya,2069753612482564315,,,in,,0,0,0,https://x.com/iZz9597/status/2069753612482564315,1749643962552586240,iZz9597,prabowo udahan ah kasih pidato jelek nya,"['udahan', 'ah', 'kasih', 'pidato', 'jelek', 'nya']"
2069753585316110722,2026-06-24T12:04:43.000Z,0,Prabowo modelan pidato gitu apa nggak malu ya sama pemimpin negara tetangga asean,2069753585316110722,,,in,,0,0,0,https://x.com/as_hariiii/status/2069753585316110722,2491311768,as_hariiii,prabowo modelan pidato gitu apa tidak_malu ya sama pemimpin negara tetangga asean,"['model', 'pidato', 'gitu', 'tidak malu', 'pimpin', 'negara', 'tetangga', 'asean']"
2069753560171204994,2026-06-24T12:04:37.000Z,0,"bener bener tiap prabowo pidato kiamat maju sehari, bangsat.",2069753560171204994,,,in,,0,0,0,https://x.com/oliefao/status/2069753560171204994,1775378356374253568,oliefao,bener bener tiap prabowo pidato kiamat maju sehari bangsat,"['bener', 'bener', 'pidato', 'kiamat', 'maju', 'hari', 'bangsat']"
2069753436154052681,2026-06-24T12:04:07.000Z,1,"Pidato @prabowo tak bermutu, tapi hobby banget pidato. 
Bang @bang_dasco, pidato2 Prabowo yg membuat orang ragu dgn keadaan ekonomi Indonesia. Bukan krn ada framing2 dari pihak tertentu seperti anda tuduhkan.",2069753436154052681,,,in,,0,0,0,https://x.com/_Haris_Srg/status/2069753436154052681,213168371,_Haris_Srg,pidato tak_bermutu tapi hobby banget pidato bang pidato2 prabowo yang membuat orang ragu dgn keadaan ekonomi indonesia bukan_karena ada framing2 dari pihak tertentu seperti anda tuduhkan,"['pidato', 'tak mutu', 'hobby', 'pidato', 'bang', 'pidato2', 'ragu', 'dgn', 'ekonomi', 'indonesia', 'bukan karena', 'framing2', 'tuduh']"
2069753197821038798,2026-06-24T12:03:11.000Z,0,@prabowo udah ya besok besok jangan pidato plissss.,2069753197821038798,,prabowo,in,,0,0,0,https://x.com/Bgssgb_/status/2069753197821038798,1445747060871872513,Bgssgb_,udah ya besok besok jangan pidato pliss,"['udah', 'besok', 'besok', 'pidato', 'pliss']"
2069752760304820533,2026-06-24T12:01:26.000Z,0,anjing prabowo pidato lagi anjing,2069752760304820533,,,in,,0,1,0,https://x.com/eaudeceiz/status/2069752760304820533,1870006529866510337,eaudeceiz,anjing prabowo pidato lagi anjing,"['anjing', 'pidato', 'anjing']"
2069752684648059305,2026-06-24T12:01:08.000Z,0,EMGUA NANGIS BNGT LIHAT PIDATO TERBARU PRABOWO?!? anj emng…. he deserves to rot in the deepest part of hell trus di dunia juga mati yg paling tersiksa banget banget bangetttt,2069752684648059305,,,in,,0,0,0,https://x.com/membintangii/status/2069752684648059305,1993027415195762698,membintangii,emgua nangis bngt lihat pidato terbaru prabowo anj emng he deserves to rot in the deepest part of hell trus di dunia juga mati yang paling tersiksa banget banget bangett,"['emgua', 'nang', 'bngt', 'pidato', 'baru', 'anj', 'emng', 'he', 'deserves', 'to', 'rot', 'in', 'the', 'deepest', 'part', 'of', 'hell', 'trus', 'dunia', 'mati', 'siksa', 'bangett']"
2069752625487397112,2026-06-24T12:00:54.000Z,0,prabowo setiap pidato selalu banyak clip blunder nya jir,2069752625487397112,,,in,,0,0,0,https://x.com/oneudd/status/2069752625487397112,1292413586757701632,oneudd,prabowo setiap pidato selalu banyak clip blunder nya jir,"['pidato', 'clip', 'blunder', 'nya', 'jir']"
2069752510131388848,2026-06-24T12:00:27.000Z,5,"Gelombang dukungan terhadap program Makan Bergizi Gratis (MBG) membentang secara spontan lewat spanduk para pelajar saat Presiden Prabowo Subianto menyampaikan pidato pada acara puncak PENAS Petani dan Nelayan XVII di Gorontalo, Rabu (24/6).

Menanggapi aksi bentang spanduk https://t.co/I6Oi0SKPW5",2069752510131388848,https://pbs.twimg.com/amplify_video_thumb/2069752358385405952/img/wvnC8Nj5sCEpQOj0.jpg,,in,,2,1,2,https://x.com/Metro_TV/status/2069752510131388848,57261519,Metro_TV,gelombang dukungan terhadap program makan_bergizi_gratis mbg membentang secara spontan lewat spanduk para pelajar saat presiden_prabowo_subianto menyampaikan pidato pada acara puncak penas petani dan nelayan xvii di gorontalo rabu 24 6 menanggapi aksi bentang spanduk,"['gelombang', 'dukung', 'program', 'makan gizi gratis', 'mbg', 'bentang', 'spontan', 'spanduk', 'ajar', 'presiden prabowo subianto', 'pidato', 'acara', 'puncak', 'nas', 'tani', 'nelayan', 'xvii', 'gorontalo', 'rabu', '24', 'tanggap', 'aksi', 'bentang', 'spanduk']"
2069752381785719081,2026-06-24T11:59:56.000Z,0,Prabowo bikin emosi aja anj tiap pidato,2069752381785719081,,,in,,0,0,0,https://x.com/hiztoriyah/status/2069752381785719081,957017222,hiztoriyah,prabowo bikin emosi saja anj tiap pidato,"['bikin', 'emosi', 'anj', 'pidato']"
2069748186181489068,2026-06-24T11:43:16.000Z,0,"males banget buka twitter isinya prabowo pidato. setelah 10 tahun dipimpin orang yg ga terlalu nafsu ngomong di muka umum, skrg ketemu presiden yg ngerasa gagah banget di depan microphone🙃",2069748186181489068,,,in,,0,0,0,https://x.com/theroyalsambli/status/2069748186181489068,1157940017412493312,theroyalsambli,males banget buka twitter isinya prabowo pidato setelah 10 tahun dipimpin orang yang tidak_terlalu nafsu ngomong di muka umum skrg ketemu presiden yang ngerasa gagah banget di depan microphone,"['males', 'buka', 'twitter', 'isi', 'pidato', '10', 'pimpin', 'tidak terlalu', 'nafsu', 'ngomong', 'muka', 'skrg', 'ketemu', 'presiden', 'ngerasa', 'gagah', 'microphone']"
2069748017171968354,2026-06-24T11:42:36.000Z,0,Cape lama lama liat prabowo pidato gajelasssssz,2069748017171968354,,,in,,0,0,0,https://x.com/thedustt/status/2069748017171968354,570545732,thedustt,cape lama lama liat prabowo pidato gajelassz,"['cape', 'pidato', 'gajelassz']"
2069747902420050430,2026-06-24T11:42:08.000Z,0,tiap prabowo pidato kiamat maju seminggu ‼️,2069747902420050430,,,in,,0,0,0,https://x.com/kawaiirukka/status/2069747902420050430,3268227326,kawaiirukka,tiap prabowo pidato kiamat maju seminggu,"['pidato', 'kiamat', 'maju', 'minggu']"
2069747578313593260,2026-06-24T11:40:51.000Z,0,prabowo pidato=KIAMAT MAJU SEHARI,2069747578313593260,,,in,,0,0,0,https://x.com/fynnterez/status/2069747578313593260,526265645,fynnterez,prabowo pidato kiamat maju sehari,"['pidato', 'kiamat', 'maju', 'hari']"
